step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,is_lights_on,beam_crossed,is_sleeping,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,15.002,5.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1,15.002,5.0,0.0,0.1,WANDER,0.55,0,0,0,0,circadian_dam
2,0.04,15.004000000000001,5.0,2.60405371853463e-25,0.1,0.0,0.0,1.0,0.0,0.0,2,15.004000000000001,5.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,circadian_dam
3,0.06,15.006000000000002,5.0,7.688743042648405e-25,0.1,0.0,0.0,1.0,0.0,0.0,3,15.006000000000002,5.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,circadian_dam
4,0.08,15.008000000000003,5.0,1.5136512219751228e-24,0.1,0.0,0.0,1.0,0.0,0.0,4,15.008000000000003,5.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
5,0.1,15.010000000000003,5.0,2.483538939550103e-24,0.1,0.0,0.0,1.0,0.0,0.0,5,15.010000000000003,5.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
6,0.12,15.012000000000004,5.0,3.6678721378636984e-24,0.1,0.0,0.0,1.0,0.0,1.0,6,15.012000000000004,5.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
7,0.14,15.014000000000005,5.0,5.056492100448316e-24,0.1,0.0,0.0,1.0,0.0,1.0,7,15.014000000000005,5.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
8,0.16,15.016000000000005,5.0,6.639722649868574e-24,0.1,0.0,0.0,1.0,0.0,1.0,8,15.016000000000005,5.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
9,0.18,15.018000000000006,5.0,8.40834722711727e-24,0.1,0.0,0.0,1.0,0.0,1.0,9,15.018000000000006,5.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,circadian_dam
10,0.2,15.020000000000007,5.0,1.0353587059740044e-23,0.1,0.0,0.0,1.0,0.0,1.0,10,15.020000000000007,5.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
11,0.22,15.022000000000007,5.0,1.2467080366974118e-23,0.1,0.0,0.0,1.0,0.0,1.0,11,15.022000000000007,5.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
12,0.24,15.024000000000008,5.0,1.4740862552642947e-23,0.1,0.0,0.0,1.0,0.0,1.0,12,15.024000000000008,5.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
13,0.26,15.026000000000009,5.0,1.7167347338888373e-23,0.1,0.0,0.0,1.0,0.0,1.0,13,15.026000000000009,5.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
14,0.28,15.02800000000001,5.0,1.9739308796050496e-23,0.1,0.0,0.0,1.0,0.0,1.0,14,15.02800000000001,5.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
15,0.3,15.03000000000001,5.0,2.2449864226128264e-23,0.1,0.0,0.0,1.0,0.0,1.0,15,15.03000000000001,5.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
16,0.32,15.03200000000001,5.0,2.5292457859275675e-23,0.1,0.0,0.0,1.0,0.0,1.0,16,15.03200000000001,5.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
17,0.34,15.034000000000011,5.0,2.826084532471441e-23,0.1,0.0,0.0,1.0,0.0,1.0,17,15.034000000000011,5.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
18,0.36,15.036000000000012,5.0,3.134907885927813e-23,0.1,0.0,0.0,1.0,0.0,1.0,18,15.036000000000012,5.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
19,0.38,15.038000000000013,5.0,3.455149321855088e-23,0.1,0.0,0.0,1.0,0.0,1.0,19,15.038000000000013,5.0,3.455149321855088e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
20,0.4,15.040000000000013,5.0,3.786269225722648e-23,0.1,0.0,0.0,1.0,0.0,1.0,20,15.040000000000013,5.0,3.786269225722648e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
21,0.42,15.042000000000014,5.0,4.1277536146900775e-23,0.1,0.0,0.0,1.0,0.0,1.0,21,15.042000000000014,5.0,4.1277536146900775e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
22,0.44,15.044000000000015,5.0,4.479112920101883e-23,0.1,0.0,0.0,1.0,0.0,1.0,22,15.044000000000015,5.0,4.479112920101883e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
23,0.46,15.046000000000015,5.0,4.839880827813705e-23,0.1,0.0,0.0,1.0,0.0,1.0,23,15.046000000000015,5.0,4.839880827813705e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
24,0.48,15.048000000000016,5.0,5.2096131736030425e-23,0.1,0.0,0.0,1.0,0.0,1.0,24,15.048000000000016,5.0,5.2096131736030425e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
25,0.5,15.050000000000017,5.0,5.587886891047962e-23,0.1,0.0,0.0,1.0,0.0,1.0,25,15.050000000000017,5.0,5.587886891047962e-23,0.1,WANDER,0.55,0,0,0,0,circadian_dam
26,0.52,15.052008417789807,5.0,5.974299009381573e-23,0.10042088948955014,0.0,0.0,1.0,0.0,1.0,26,15.052008417789807,5.0,5.974299009381573e-23,0.10042088948955014,WANDER,0.55,0,0,0,0,circadian_dam
27,0.54,15.054116915448658,5.0,6.342425161763064e-23,0.1054248829425565,0.0,0.0,1.0,0.0,1.0,27,15.054116915448658,5.0,6.342425161763064e-23,0.1054248829425565,WANDER,0.55,0,0,0,0,circadian_dam
28,0.56,15.056296984698951,5.0,6.693133931575162e-23,0.10900346251464704,0.0,0.0,1.0,0.0,1.0,28,15.056296984698951,5.0,6.693133931575162e-23,0.10900346251464704,WANDER,0.55,0,0,0,0,circadian_dam
29,0.58,15.058506453609919,5.0,7.027252644489914e-23,0.11047344554841908,0.0,0.0,1.0,0.0,1.0,29,15.058506453609919,5.0,7.027252644489914e-23,0.11047344554841908,WANDER,0.55,0,0,0,0,circadian_dam
30,0.6,15.060693599036716,5.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,1.0,0.0,1.0,30,15.060693599036716,5.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,circadian_dam
31,0.62,15.062802102043825,5.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,1.0,0.0,1.0,31,15.062802102043825,5.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,circadian_dam
32,0.64,15.064855042824927,5.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,1.0,0.0,1.0,32,15.064855042824927,5.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,circadian_dam
33,0.66,15.066910490487484,5.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,1.0,0.0,1.0,33,15.066910490487484,5.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,circadian_dam
34,0.68,15.069015380571653,5.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,1.0,0.0,1.0,34,15.069015380571653,5.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,circadian_dam
35,0.7000000000000001,15.071201791413614,5.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,1.0,0.0,1.0,35,15.071201791413614,5.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,circadian_dam
36,0.72,15.07348453250313,5.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,1.0,0.0,1.0,36,15.07348453250313,5.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,circadian_dam
37,0.74,15.075860262379782,5.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,1.0,0.0,1.0,37,15.075860262379782,5.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,circadian_dam
38,0.76,15.078308216224563,5.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,1.0,0.0,1.0,38,15.078308216224563,5.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,circadian_dam
39,0.78,15.08079247872025,5.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,1.0,0.0,1.0,39,15.08079247872025,5.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,circadian_dam
40,0.8,15.083265598957704,5.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,1.0,0.0,1.0,40,15.083265598957704,5.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,circadian_dam
41,0.8200000000000001,15.085673223618997,5.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,1.0,0.0,1.0,41,15.085673223618997,5.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,circadian_dam
42,0.84,15.087985677144935,5.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,1.0,0.0,1.0,42,15.087985677144935,5.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,circadian_dam
43,0.86,15.090265026284719,5.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,1.0,0.0,1.0,43,15.090265026284719,5.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,circadian_dam
44,0.88,15.092564173377324,5.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,1.0,0.0,1.0,44,15.092564173377324,5.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,circadian_dam
45,0.9,15.094922652216697,5.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,1.0,0.0,1.0,45,15.094922652216697,5.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,circadian_dam
46,0.92,15.097363599751178,5.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,1.0,0.0,1.0,46,15.097363599751178,5.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,circadian_dam
47,0.9400000000000001,15.099892176645609,5.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,1.0,0.0,1.0,47,15.099892176645609,5.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,circadian_dam
