step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,wing_angle,p1_rate,rejection,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,10.0,12.998,4.71238898038469,0.1,0.0,0.0,50.0,0.0,0.0,1,10.0,12.998,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
2,0.04,10.0,12.995999999999999,4.71238898038469,0.1,0.0,0.0,50.03199423631158,0.0,0.0,2,10.0,12.995999999999999,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
3,0.06,10.0,12.993999999999998,4.71238898038469,0.1,0.0,0.0,50.06397693047635,0.0,0.0,3,10.0,12.993999999999998,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
4,0.08,10.0,12.991999999999997,4.71238898038469,0.1,0.0,0.0,50.09594806030279,0.0,0.0,4,10.0,12.991999999999997,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
5,0.1,10.0,12.989999999999997,4.71238898038469,0.1,0.0,0.0,50.1279076035505,0.0,0.0,5,10.0,12.989999999999997,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
6,0.12,10.0,12.987999999999996,4.71238898038469,0.1,0.0,0.0,50.15985553793012,0.0,0.0,6,10.0,12.987999999999996,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
7,0.14,10.0,12.985999999999995,4.71238898038469,0.1,0.0,0.0,50.1917918411032,0.0,0.0,7,10.0,12.985999999999995,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
8,0.16,10.0,12.983999999999995,4.71238898038469,0.1,0.0,0.0,50.22371649068211,0.0,0.0,8,10.0,12.983999999999995,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
9,0.18,10.0,12.981999999999994,4.71238898038469,0.1,0.0,0.0,50.255629464229905,0.0,0.0,9,10.0,12.981999999999994,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
10,0.2,10.0,12.979999999999993,4.71238898038469,0.1,0.0,0.0,50.28753073926029,0.0,0.0,10,10.0,12.979999999999993,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
11,0.22,10.0,12.977999999999993,4.71238898038469,0.1,0.0,0.0,50.31942029323743,0.0,0.0,11,10.0,12.977999999999993,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
12,0.24,10.0,12.975999999999992,4.71238898038469,0.1,0.0,0.0,50.35129810357588,0.0,0.0,12,10.0,12.975999999999992,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
13,0.26,10.0,12.973999999999991,4.71238898038469,0.1,0.0,0.0,50.3831641476405,0.0,0.0,13,10.0,12.973999999999991,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
14,0.28,10.0,12.97199999999999,4.71238898038469,0.1,0.0,0.0,50.41501840274631,0.0,0.0,14,10.0,12.97199999999999,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
15,0.3,10.0,12.96999999999999,4.71238898038469,0.1,0.0,0.0,50.446860846158444,0.0,0.0,15,10.0,12.96999999999999,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
16,0.32,10.0,12.96799999999999,4.71238898038469,0.1,0.0,0.0,50.47869145509193,0.0,0.0,16,10.0,12.96799999999999,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
17,0.34,10.0,12.965999999999989,4.71238898038469,0.1,0.0,0.0,50.510510206711736,0.0,0.0,17,10.0,12.965999999999989,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
18,0.36,10.0,12.963999999999988,4.71238898038469,0.1,0.0,0.0,50.54231707813252,0.0,0.0,18,10.0,12.963999999999988,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
19,0.38,10.0,12.961999999999987,4.71238898038469,0.1,0.0,0.0,50.57411204641862,0.0,0.0,19,10.0,12.961999999999987,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
20,0.4,10.0,12.959999999999987,4.71238898038469,0.1,0.0,0.0,50.60589508858391,0.0,0.0,20,10.0,12.959999999999987,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
21,0.42,10.0,12.957999999999986,4.71238898038469,0.1,0.0,0.0,50.63766618159167,0.0,0.0,21,10.0,12.957999999999986,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
22,0.44,10.0,12.955999999999985,4.71238898038469,0.1,0.0,0.0,50.66942530235455,0.0,0.0,22,10.0,12.955999999999985,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
23,0.46,10.0,12.953999999999985,4.71238898038469,0.1,0.0,0.0,50.70117242773438,0.0,0.0,23,10.0,12.953999999999985,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
24,0.48,10.0,12.951999999999984,4.71238898038469,0.1,0.0,0.0,50.73290753454213,0.0,0.0,24,10.0,12.951999999999984,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
25,0.5,10.0,12.949999999999983,4.71238898038469,0.1,0.0,0.0,50.764630599537746,0.0,0.0,25,10.0,12.949999999999983,4.71238898038469,0.1,WANDER,0.55,0,0,0,0,courtship
26,0.52,10.0,12.947991582210193,4.71238898038469,0.10042088948955014,0.0,0.0,50.79634159943009,0.0,0.0,26,10.0,12.947991582210193,4.71238898038469,0.10042088948955014,WANDER,0.55,0,0,0,0,courtship
27,0.54,10.0,12.945883084551342,4.71238898038469,0.1054248829425565,0.0,0.0,50.82817390268378,0.0,0.0,27,10.0,12.945883084551342,4.71238898038469,0.1054248829425565,WANDER,0.55,0,0,0,0,courtship
28,0.56,10.0,12.943703015301049,4.71238898038469,0.10900346251464704,0.0,0.0,50.86157927347259,0.0,0.0,28,10.0,12.943703015301049,4.71238898038469,0.10900346251464704,WANDER,0.55,0,0,0,0,courtship
29,0.58,10.0,12.941493546390081,4.71238898038469,0.11047344554841908,0.0,0.0,50.896104383907016,0.0,0.0,29,10.0,12.941493546390081,4.71238898038469,0.11047344554841908,WANDER,0.55,0,0,0,0,courtship
30,0.6,10.0,12.939306400963284,4.71238898038469,0.1093572713398104,0.0,0.0,50.93108034336059,0.0,0.0,30,10.0,12.939306400963284,4.71238898038469,0.1093572713398104,WANDER,0.55,0,0,0,0,courtship
31,0.62,10.0,12.937197897956175,4.71238898038469,0.10542515035545391,0.0,0.0,50.96568827110075,0.0,0.0,31,10.0,12.937197897956175,4.71238898038469,0.10542515035545391,WANDER,0.55,0,0,0,0,courtship
32,0.64,10.0,12.935144957175073,4.71238898038469,0.1026470390550514,0.0,0.0,50.999037985583094,0.0,0.0,32,10.0,12.935144957175073,4.71238898038469,0.1026470390550514,WANDER,0.55,0,0,0,0,courtship
33,0.66,10.0,12.933089509512516,4.71238898038469,0.10277238312781133,0.0,0.0,51.03149581504408,0.0,0.0,33,10.0,12.933089509512516,4.71238898038469,0.10277238312781133,WANDER,0.55,0,0,0,0,courtship
