step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,gap_width,probing,crossing_success,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,20.002,10.0,0.0,0.1,0.0,0.0,3.5,0.0,0.0,1,20.002,10.0,0.0,0.1,WANDER,0.55,0,0,0,0,gap_crossing
2,0.04,20.003999999999998,10.0,2.60405371853463e-25,0.1,0.0,0.0,3.5,0.0,0.0,2,20.003999999999998,10.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,gap_crossing
3,0.06,20.005999999999997,10.0,7.688743042648405e-25,0.1,0.0,0.0,3.5,0.0,0.0,3,20.005999999999997,10.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,gap_crossing
4,0.08,20.007999999999996,10.0,1.5136512219751228e-24,0.1,0.0,0.0,3.5,0.0,0.0,4,20.007999999999996,10.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
5,0.1,20.009999999999994,10.0,2.483538939550103e-24,0.1,0.0,0.0,3.5,0.0,0.0,5,20.009999999999994,10.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
6,0.12,20.011999999999993,10.0,3.6678721378636984e-24,0.1,0.0,0.0,3.5,0.0,0.0,6,20.011999999999993,10.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
7,0.14,20.013999999999992,10.0,5.056492100448316e-24,0.1,0.0,0.0,3.5,0.0,0.0,7,20.013999999999992,10.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
8,0.16,20.01599999999999,10.0,6.639722649868574e-24,0.1,0.0,0.0,3.5,0.0,0.0,8,20.01599999999999,10.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
9,0.18,20.01799999999999,10.0,8.40834722711727e-24,0.1,0.0,0.0,3.5,0.0,0.0,9,20.01799999999999,10.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,gap_crossing
10,0.2,20.01999999999999,10.0,1.0353587059740044e-23,0.1,0.0,0.0,3.5,0.0,0.0,10,20.01999999999999,10.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
11,0.22,20.021999999999988,10.0,1.2467080366974118e-23,0.1,0.0,0.0,3.5,0.0,0.0,11,20.021999999999988,10.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
12,0.24,20.023999999999987,10.0,1.4740862552642947e-23,0.1,0.0,0.0,3.5,0.0,0.0,12,20.023999999999987,10.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
13,0.26,20.025999999999986,10.0,1.7167347338888373e-23,0.1,0.0,0.0,3.5,0.0,0.0,13,20.025999999999986,10.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
14,0.28,20.027999999999984,10.0,1.9739308796050496e-23,0.1,0.0,0.0,3.5,0.0,0.0,14,20.027999999999984,10.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
15,0.3,20.029999999999983,10.0,2.2449864226128264e-23,0.1,0.0,0.0,3.5,0.0,0.0,15,20.029999999999983,10.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
16,0.32,20.031999999999982,10.0,2.5292457859275675e-23,0.1,0.0,0.0,3.5,0.0,0.0,16,20.031999999999982,10.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
17,0.34,20.03399999999998,10.0,2.826084532471441e-23,0.1,0.0,0.0,3.5,0.0,0.0,17,20.03399999999998,10.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
18,0.36,20.03599999999998,10.0,3.134907885927813e-23,0.1,0.0,0.0,3.5,0.0,0.0,18,20.03599999999998,10.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
19,0.38,20.03799999999998,10.0,3.455149321855088e-23,0.1,0.0,0.0,3.5,0.0,0.0,19,20.03799999999998,10.0,3.455149321855088e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
20,0.4,20.039999999999978,10.0,3.786269225722648e-23,0.1,0.0,0.0,3.5,0.0,0.0,20,20.039999999999978,10.0,3.786269225722648e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
21,0.42,20.041999999999977,10.0,4.1277536146900775e-23,0.1,0.0,0.0,3.5,0.0,0.0,21,20.041999999999977,10.0,4.1277536146900775e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
22,0.44,20.043999999999976,10.0,4.479112920101883e-23,0.1,0.0,0.0,3.5,0.0,0.0,22,20.043999999999976,10.0,4.479112920101883e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
23,0.46,20.045999999999975,10.0,4.839880827813705e-23,0.1,0.0,0.0,3.5,0.0,0.0,23,20.045999999999975,10.0,4.839880827813705e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
24,0.48,20.047999999999973,10.0,5.2096131736030425e-23,0.1,0.0,0.0,3.5,0.0,0.0,24,20.047999999999973,10.0,5.2096131736030425e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
25,0.5,20.049999999999972,10.0,5.587886891047962e-23,0.1,0.0,0.0,3.5,0.0,0.0,25,20.049999999999972,10.0,5.587886891047962e-23,0.1,WANDER,0.55,0,0,0,0,gap_crossing
26,0.52,20.052008417789764,10.0,5.974299009381573e-23,0.10042088948955014,0.0,0.0,3.5,0.0,0.0,26,20.052008417789764,10.0,5.974299009381573e-23,0.10042088948955014,WANDER,0.55,0,0,0,0,gap_crossing
27,0.54,20.054116915448617,10.0,6.342425161763064e-23,0.1054248829425565,0.0,0.0,3.5,0.0,0.0,27,20.054116915448617,10.0,6.342425161763064e-23,0.1054248829425565,WANDER,0.55,0,0,0,0,gap_crossing
28,0.56,20.05629698469891,10.0,6.693133931575162e-23,0.10900346251464704,0.0,0.0,3.5,0.0,0.0,28,20.05629698469891,10.0,6.693133931575162e-23,0.10900346251464704,WANDER,0.55,0,0,0,0,gap_crossing
29,0.58,20.05850645360988,10.0,7.027252644489914e-23,0.11047344554841908,0.0,0.0,3.5,0.0,0.0,29,20.05850645360988,10.0,7.027252644489914e-23,0.11047344554841908,WANDER,0.55,0,0,0,0,gap_crossing
30,0.6,20.060693599036675,10.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,3.5,0.0,0.0,30,20.060693599036675,10.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,gap_crossing
31,0.62,20.062802102043783,10.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,3.5,0.0,0.0,31,20.062802102043783,10.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,gap_crossing
32,0.64,20.064855042824885,10.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,3.5,0.0,0.0,32,20.064855042824885,10.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,gap_crossing
33,0.66,20.06691049048744,10.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,3.5,0.0,0.0,33,20.06691049048744,10.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,gap_crossing
34,0.68,20.06901538057161,10.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,3.5,0.0,0.0,34,20.06901538057161,10.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,gap_crossing
35,0.7000000000000001,20.07120179141357,10.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,3.5,0.0,0.0,35,20.07120179141357,10.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,gap_crossing
36,0.72,20.073484532503088,10.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,3.5,0.0,0.0,36,20.073484532503088,10.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,gap_crossing
37,0.74,20.07586026237974,10.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,3.5,0.0,0.0,37,20.07586026237974,10.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,gap_crossing
38,0.76,20.078308216224524,10.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,3.5,0.0,0.0,38,20.078308216224524,10.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,gap_crossing
39,0.78,20.08079247872021,10.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,3.5,0.0,0.0,39,20.08079247872021,10.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,gap_crossing
40,0.8,20.083265598957663,10.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,3.5,0.0,0.0,40,20.083265598957663,10.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,gap_crossing
41,0.8200000000000001,20.085673223618958,10.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,3.5,0.0,0.0,41,20.085673223618958,10.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,gap_crossing
42,0.84,20.087985677144896,10.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,3.5,0.0,0.0,42,20.087985677144896,10.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,gap_crossing
43,0.86,20.09026502628468,10.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,3.5,0.0,0.0,43,20.09026502628468,10.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,gap_crossing
44,0.88,20.092564173377287,10.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,3.5,0.0,0.0,44,20.092564173377287,10.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,gap_crossing
45,0.9,20.09492265221666,10.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,3.5,0.0,0.0,45,20.09492265221666,10.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,gap_crossing
46,0.92,20.09736359975114,10.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,3.5,0.0,0.0,46,20.09736359975114,10.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,gap_crossing
47,0.9400000000000001,20.09989217664557,10.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,3.5,0.0,0.0,47,20.09989217664557,10.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,gap_crossing
48,0.96,20.102495579585906,10.0,1.1486353465156407e-22,0.130170147016787,0.0,0.0,3.5,0.0,0.0,48,20.102495579585906,10.0,1.1486353465156407e-22,0.130170147016787,WANDER,0.55,0,0,0,0,gap_crossing
49,0.98,20.10514464523014,10.0,1.164629417254603e-22,0.13245328221173489,0.0,0.0,3.5,0.0,0.0,49,20.10514464523014,10.0,1.164629417254603e-22,0.13245328221173489,WANDER,0.55,0,0,0,0,gap_crossing
50,1.0,20.107796902744095,10.0,1.179871179477687e-22,0.13261287569771993,0.0,0.0,3.5,0.0,0.0,50,20.107796902744095,10.0,1.179871179477687e-22,0.13261287569771993,WANDER,0.55,0,0,0,0,gap_crossing
51,1.02,20.11040080174341,10.0,1.1943963678393971e-22,0.1301949499656576,0.0,0.0,3.5,0.0,0.0,51,20.11040080174341,10.0,1.1943963678393971e-22,0.1301949499656576,WANDER,0.55,0,0,0,0,gap_crossing
52,1.04,20.112900736877567,10.0,1.2108430733166832e-22,0.12499675670780629,0.0,0.0,3.5,0.0,0.0,52,20.112900736877567,10.0,1.2108430733166832e-22,0.12499675670780629,WANDER,0.55,0,0,0,0,gap_crossing
53,1.06,20.115333931142583,10.0,1.2291202982852303e-22,0.12165971325088959,0.0,0.0,3.5,0.0,0.0,53,20.115333931142583,10.0,1.2291202982852303e-22,0.12165971325088959,WANDER,0.55,0,0,0,0,gap_crossing
54,1.08,20.117758247057974,10.0,1.2465373137893438e-22,0.1212157957695753,0.0,0.0,3.5,0.0,0.0,54,20.117758247057974,10.0,1.2465373137893438e-22,0.1212157957695753,WANDER,0.55,0,0,0,0,gap_crossing
55,1.1,20.120219908697685,10.0,1.2631349797785843e-22,0.12308308198546487,0.0,0.0,3.5,0.0,0.0,55,20.120219908697685,10.0,1.2631349797785843e-22,0.12308308198546487,WANDER,0.55,0,0,0,0,gap_crossing
56,1.12,20.122749910662655,10.0,1.2763481616363736e-22,0.12650009824854488,0.0,0.0,3.5,0.0,0.0,56,20.122749910662655,10.0,1.2763481616363736e-22,0.12650009824854488,WANDER,0.55,0,0,0,0,gap_crossing
57,1.1400000000000001,20.125361769382486,10.0,1.2889414016388156e-22,0.1305929359915646,0.0,0.0,3.5,0.0,0.0,57,20.125361769382486,10.0,1.2889414016388156e-22,0.1305929359915646,WANDER,0.55,0,0,0,0,gap_crossing
58,1.16,20.128050819798403,10.0,1.2983400933055044e-22,0.13445252079593317,0.0,0.0,3.5,0.0,0.0,58,20.128050819798403,10.0,1.2983400933055044e-22,0.13445252079593317,WANDER,0.55,0,0,0,0,gap_crossing
59,1.18,20.130795121663226,10.0,1.3099038106807827e-22,0.13721509324116593,0.0,0.0,3.5,0.0,0.0,59,20.130795121663226,10.0,1.3099038106807827e-22,0.13721509324116593,WANDER,0.55,0,0,0,0,gap_crossing
60,1.2,20.133557895111757,10.0,1.3209259357636328e-22,0.1381386724265947,0.0,0.0,3.5,0.0,0.0,60,20.133557895111757,10.0,1.3209259357636328e-22,0.1381386724265947,WANDER,0.55,0,0,0,0,gap_crossing
61,1.22,20.136291267789648,10.0,1.3262240867508757e-22,0.136668633894506,0.0,0.0,3.5,0.0,0.0,61,20.136291267789648,10.0,1.3262240867508757e-22,0.136668633894506,WANDER,0.55,0,0,0,0,gap_crossing
62,1.24,20.13894099801459,10.0,1.333881764690307e-22,0.13248651124710067,0.0,0.0,3.5,0.0,0.0,62,20.13894099801459,10.0,1.333881764690307e-22,0.13248651124710067,WANDER,0.55,0,0,0,0,gap_crossing
63,1.26,20.141491229999094,10.0,1.3411831127718377e-22,0.1275115992251165,0.0,0.0,3.5,0.0,0.0,63,20.141491229999094,10.0,1.3411831127718377e-22,0.1275115992251165,WANDER,0.55,0,0,0,0,gap_crossing
64,1.28,20.144003767606975,10.0,1.3455410029451838e-22,0.12562688039405667,0.0,0.0,3.5,0.0,0.0,64,20.144003767606975,10.0,1.3455410029451838e-22,0.12562688039405667,WANDER,0.55,0,0,0,0,gap_crossing
65,1.3,20.146530713478327,10.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,3.5,0.0,0.0,65,20.146530713478327,10.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,gap_crossing
