step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,floor_temp,epg_bump,pam_burst,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,70.0,17.99,1.5707963267948966,-0.5,0.0,0.0,36.499999992823746,0.0003589224475812891,0.0,1,70.0,17.99,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
2,0.04,70.0,17.979999999999997,1.5707963267948966,-0.5,0.0,0.0,36.4999999928809,0.0007178082856924561,0.0,2,70.0,17.979999999999997,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
3,0.06,70.0,17.969999999999995,1.5707963267948966,-0.5,0.0,0.0,36.49999999293762,0.0010766575217613372,0.0,3,70.0,17.969999999999995,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
4,0.08,70.0,17.959999999999994,1.5707963267948966,-0.5,0.0,0.0,36.49999999299389,0.001435470163213548,0.0,4,70.0,17.959999999999994,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
5,0.1,70.0,17.949999999999992,1.5707963267948966,-0.5,0.0,0.0,36.49999999304973,0.0017942462174720397,0.0,5,70.0,17.949999999999992,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
6,0.12,70.0,17.93999999999999,1.5707963267948966,-0.5,0.0,0.0,36.49999999310513,0.002152985691957987,0.0,6,70.0,17.93999999999999,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
7,0.14,70.0,17.92999999999999,1.5707963267948966,-0.5,0.0,0.0,36.4999999931601,0.0025116885940903444,0.0,7,70.0,17.92999999999999,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
8,0.16,70.0,17.919999999999987,1.5707963267948966,-0.5,0.0,0.0,36.499999993214644,0.0028703549312854015,0.0,8,70.0,17.919999999999987,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
9,0.18,70.0,17.909999999999986,1.5707963267948966,-0.5,0.0,0.0,36.49999999326876,0.003228984710957672,0.0,9,70.0,17.909999999999986,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
10,0.2,70.0,17.899999999999984,1.5707963267948966,-0.5,0.0,0.0,36.49999999332246,0.0035875779405190045,0.0,10,70.0,17.899999999999984,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
11,0.22,70.0,17.889999999999983,1.5707963267948966,-0.5,0.0,0.0,36.49999999337574,0.003946134627379472,0.0,11,70.0,17.889999999999983,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
12,0.24,70.0,17.87999999999998,1.5707963267948966,-0.5,0.0,0.0,36.4999999934286,0.004304654778946482,0.0,12,70.0,17.87999999999998,1.5707963267948966,-0.5,REVERSE,0.55,0,0,0,0,heat_maze
