step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,goal_distance,goal_reached,collided,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,15.002,15.0,0.0,0.1,0.0,0.0,134.6291201783626,0.0,0.0,1,15.002,15.0,0.0,0.1,WANDER,0.55,0,0,0,0,labyrinth
2,0.04,15.004000000000001,15.0,2.7105054312137615e-26,0.1,0.0,0.0,134.62741178526758,0.0,0.0,2,15.004000000000001,15.0,2.7105054312137615e-26,0.1,WANDER,0.55,0,0,0,0,labyrinth
3,0.06,15.006000000000002,15.0,8.00276728565863e-26,0.1,0.0,0.0,134.6257034002051,0.0,0.0,3,15.006000000000002,15.0,8.00276728565863e-26,0.1,WANDER,0.55,0,0,0,0,labyrinth
4,0.08,15.008000000000003,15.0,1.575415213323113e-25,0.1,0.0,0.0,134.62399502317558,0.0,0.0,4,15.008000000000003,15.0,1.575415213323113e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
5,0.1,15.010000000000003,15.0,2.5847851631757695e-25,0.1,0.0,0.0,134.6222866541792,0.0,0.0,5,15.010000000000003,15.0,2.5847851631757695e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
6,0.12,15.012000000000004,15.0,3.8172605835318013e-25,0.1,0.0,0.0,134.62057829321637,0.0,0.0,6,15.012000000000004,15.0,3.8172605835318013e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
7,0.14,15.014000000000005,15.0,5.262243964542297e-25,0.1,0.0,0.0,134.61886994028734,0.0,0.0,7,15.014000000000005,15.0,5.262243964542297e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
8,0.16,15.016000000000005,15.0,6.909641178076171e-25,0.1,0.0,0.0,134.61716159539245,0.0,0.0,8,15.016000000000005,15.0,6.909641178076171e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
9,0.18,15.018000000000006,15.0,8.749837567088563e-25,0.1,0.0,0.0,134.61545325853194,0.0,0.0,9,15.018000000000006,15.0,8.749837567088563e-25,0.1,WANDER,0.55,0,0,0,0,labyrinth
10,0.2,15.020000000000007,15.0,1.0773675170744241e-24,0.1,0.0,0.0,134.6137449297062,0.0,0.0,10,15.020000000000007,15.0,1.0773675170744241e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
11,0.22,15.022000000000007,15.0,1.297243103134765e-24,0.1,0.0,0.0,134.61203660891547,0.0,0.0,11,15.022000000000007,15.0,1.297243103134765e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
12,0.24,15.024000000000008,15.0,1.5337796531693774e-24,0.1,0.0,0.0,134.6103282961601,0.0,0.0,12,15.024000000000008,15.0,1.5337796531693774e-24,0.1,WANDER,0.55,0,0,0,0,labyrinth
