step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,looming_size,gf_spike,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,40.002,40.0,0.0,0.1,0.0,0.0,6.02557500836668,0.0,1,40.002,40.0,0.0,0.1,WANDER,0.55,0,0,0,0,looming_escape
2,0.04,40.004000000000005,40.0,2.60405371853463e-25,0.1,0.0,0.0,6.359660239728469,0.0,2,40.004000000000005,40.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,looming_escape
3,0.06,40.00600000000001,40.0,7.688743042648405e-25,0.1,0.0,0.0,6.732921326859602,0.0,3,40.00600000000001,40.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,looming_escape
4,0.08,40.00800000000001,40.0,1.5136512219751228e-24,0.1,0.0,0.0,7.152668749994702,0.0,4,40.00800000000001,40.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
5,0.1,40.01000000000001,40.0,2.483538939550103e-24,0.1,0.0,0.0,7.628149668580708,0.0,5,40.01000000000001,40.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
6,0.12,40.012000000000015,40.0,3.6678721378636984e-24,0.1,0.0,0.0,8.171233559949753,0.0,6,40.012000000000015,40.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
7,0.14,40.01400000000002,40.0,5.056492100448316e-24,0.1,0.0,0.0,8.797410709991064,0.0,7,40.01400000000002,40.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
8,0.16,40.01600000000002,40.0,6.639722649868574e-24,0.1,0.0,0.0,9.527283381452355,0.0,8,40.01600000000002,40.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
9,0.18,40.01800000000002,40.0,8.40834722711727e-24,0.1,0.0,0.0,10.38885781546961,0.0,9,40.01800000000002,40.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,looming_escape
10,0.2,40.020000000000024,40.0,1.0353587059740044e-23,0.1,0.0,0.0,11.421186274999284,0.0,10,40.020000000000024,40.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
11,0.22,40.02200000000003,40.0,1.2467080366974118e-23,0.1,0.0,0.0,12.680383491819818,0.0,11,40.02200000000003,40.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
12,0.24,40.02400000000003,40.0,1.4740862552642947e-23,0.1,0.0,0.0,14.250032697803594,0.0,12,40.02400000000003,40.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
13,0.26,40.02600000000003,40.0,1.7167347338888373e-23,0.1,0.0,0.0,16.260204708311957,0.0,13,40.02600000000003,40.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
14,0.28,40.028000000000034,40.0,1.9739308796050496e-23,0.1,0.0,0.0,18.924644416051237,0.0,14,40.028000000000034,40.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
15,0.3,40.03000000000004,40.0,2.2449864226128264e-23,0.1,0.0,0.0,22.61986494804042,0.0,15,40.03000000000004,40.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
16,0.32,40.03200000000004,40.0,2.5292457859275675e-23,0.1,0.0,0.0,28.07248693585295,0.0,16,40.03200000000004,40.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
17,0.34,40.03400000000004,40.0,2.826084532471441e-23,0.1,0.0,0.0,36.86989764584403,0.0,17,40.03400000000004,40.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
18,0.36,40.036000000000044,40.0,3.134907885927813e-23,0.1,0.0,0.0,53.13010235415594,0.0,18,40.036000000000044,40.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
19,0.38,40.038000000000046,40.0,3.455149321855088e-23,0.1,0.0,0.0,89.99999999999994,1.0,19,40.038000000000046,40.0,3.455149321855088e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
20,0.4,40.04000000000005,40.0,3.786269225722648e-23,0.1,0.0,0.0,174.2751895477765,0.0,20,40.04000000000005,40.0,3.786269225722648e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
21,0.42,40.04200000000005,40.0,4.1277536146900775e-23,0.1,0.0,0.0,174.2751895477765,0.0,21,40.04200000000005,40.0,4.1277536146900775e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
22,0.44,40.044000000000054,40.0,4.479112920101883e-23,0.1,0.0,0.0,174.2751895477765,0.0,22,40.044000000000054,40.0,4.479112920101883e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
23,0.46,40.046000000000056,40.0,4.839880827813705e-23,0.1,0.0,0.0,174.2751895477765,0.0,23,40.046000000000056,40.0,4.839880827813705e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
24,0.48,40.04800000000006,40.0,5.2096131736030425e-23,0.1,0.0,0.0,174.2751895477765,0.0,24,40.04800000000006,40.0,5.2096131736030425e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
25,0.5,40.05000000000006,40.0,5.587886891047962e-23,0.1,0.0,0.0,174.2751895477765,0.0,25,40.05000000000006,40.0,5.587886891047962e-23,0.1,WANDER,0.55,0,0,0,0,looming_escape
26,0.52,40.05200841778985,40.0,5.974299009381573e-23,0.10042088948955014,0.0,0.0,174.2751895477765,0.0,26,40.05200841778985,40.0,5.974299009381573e-23,0.10042088948955014,WANDER,0.55,0,0,0,0,looming_escape
27,0.54,40.0541169154487,40.0,6.342425161763064e-23,0.1054248829425565,0.0,0.0,174.2751895477765,0.0,27,40.0541169154487,40.0,6.342425161763064e-23,0.1054248829425565,WANDER,0.55,0,0,0,0,looming_escape
28,0.56,40.056296984698996,40.0,6.693133931575162e-23,0.10900346251464704,0.0,0.0,174.2751895477765,0.0,28,40.056296984698996,40.0,6.693133931575162e-23,0.10900346251464704,WANDER,0.55,0,0,0,0,looming_escape
29,0.58,40.058506453609965,40.0,7.027252644489914e-23,0.11047344554841908,0.0,0.0,174.2751895477765,0.0,29,40.058506453609965,40.0,7.027252644489914e-23,0.11047344554841908,WANDER,0.55,0,0,0,0,looming_escape
30,0.6,40.06069359903676,40.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,174.2751895477765,0.0,30,40.06069359903676,40.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,looming_escape
31,0.62,40.06280210204387,40.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,174.2751895477765,0.0,31,40.06280210204387,40.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,looming_escape
32,0.64,40.064855042824966,40.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,174.2751895477765,0.0,32,40.064855042824966,40.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,looming_escape
33,0.66,40.06691049048752,40.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,174.2751895477765,0.0,33,40.06691049048752,40.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,looming_escape
34,0.68,40.06901538057169,40.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,174.2751895477765,0.0,34,40.06901538057169,40.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,looming_escape
35,0.7000000000000001,40.07120179141365,40.0,8.683307096347857e-23,0.10932054209806402,0.0,0.0,174.2751895477765,0.0,35,40.07120179141365,40.0,8.683307096347857e-23,0.10932054209806402,WANDER,0.55,0,0,0,0,looming_escape
36,0.72,40.073484532503166,40.0,8.923367362843501e-23,0.114137054475821,0.0,0.0,174.2751895477765,0.0,36,40.073484532503166,40.0,8.923367362843501e-23,0.114137054475821,WANDER,0.55,0,0,0,0,looming_escape
37,0.74,40.07586026237982,40.0,9.178133913534675e-23,0.1187864938326362,0.0,0.0,174.2751895477765,0.0,37,40.07586026237982,40.0,9.178133913534675e-23,0.1187864938326362,WANDER,0.55,0,0,0,0,looming_escape
38,0.76,40.0783082162246,40.0,9.394829869938148e-23,0.12239769223908242,0.0,0.0,174.2751895477765,0.0,38,40.0783082162246,40.0,9.394829869938148e-23,0.12239769223908242,WANDER,0.55,0,0,0,0,looming_escape
39,0.78,40.080792478720284,40.0,9.62734191526653e-23,0.12421312478428326,0.0,0.0,174.2751895477765,0.0,39,40.080792478720284,40.0,9.62734191526653e-23,0.12421312478428326,WANDER,0.55,0,0,0,0,looming_escape
40,0.8,40.08326559895774,40.0,9.822840455311945e-23,0.12365601187268878,0.0,0.0,174.2751895477765,0.0,40,40.08326559895774,40.0,9.822840455311945e-23,0.12365601187268878,WANDER,0.55,0,0,0,0,looming_escape
41,0.8200000000000001,40.08567322361903,40.0,9.983080887188584e-23,0.12038123306468687,0.0,0.0,174.2751895477765,0.0,41,40.08567322361903,40.0,9.983080887188584e-23,0.12038123306468687,WANDER,0.55,0,0,0,0,looming_escape
42,0.84,40.08798567714497,40.0,1.0187856838203753e-22,0.11562267629693412,0.0,0.0,174.2751895477765,0.0,42,40.08798567714497,40.0,1.0187856838203753e-22,0.11562267629693412,WANDER,0.55,0,0,0,0,looming_escape
43,0.86,40.090265026284754,40.0,1.0409017822786525e-22,0.1139674569891342,0.0,0.0,174.2751895477765,0.0,43,40.090265026284754,40.0,1.0409017822786525e-22,0.1139674569891342,WANDER,0.55,0,0,0,0,looming_escape
44,0.88,40.09256417337736,40.0,1.0645788296229188e-22,0.11495735463031481,0.0,0.0,174.2751895477765,0.0,44,40.09256417337736,40.0,1.0645788296229188e-22,0.11495735463031481,WANDER,0.55,0,0,0,0,looming_escape
45,0.9,40.09492265221673,40.0,1.08713890150123e-22,0.11792394196861614,0.0,0.0,174.2751895477765,0.0,45,40.09492265221673,40.0,1.08713890150123e-22,0.11792394196861614,WANDER,0.55,0,0,0,0,looming_escape
46,0.92,40.09736359975121,40.0,1.1086350542482187e-22,0.12204737672401511,0.0,0.0,174.2751895477765,0.0,46,40.09736359975121,40.0,1.1086350542482187e-22,0.12204737672401511,WANDER,0.55,0,0,0,0,looming_escape
47,0.9400000000000001,40.099892176645646,40.0,1.129117824022623e-22,0.12642884472154078,0.0,0.0,174.2751895477765,0.0,47,40.099892176645646,40.0,1.129117824022623e-22,0.12642884472154078,WANDER,0.55,0,0,0,0,looming_escape
48,0.96,40.102495579585984,40.0,1.1486353465156407e-22,0.130170147016787,0.0,0.0,174.2751895477765,0.0,48,40.102495579585984,40.0,1.1486353465156407e-22,0.130170147016787,WANDER,0.55,0,0,0,0,looming_escape
49,0.98,40.10514464523022,40.0,1.164629417254603e-22,0.13245328221173489,0.0,0.0,174.2751895477765,0.0,49,40.10514464523022,40.0,1.164629417254603e-22,0.13245328221173489,WANDER,0.55,0,0,0,0,looming_escape
50,1.0,40.10779690274417,40.0,1.179871179477687e-22,0.13261287569771993,0.0,0.0,174.2751895477765,0.0,50,40.10779690274417,40.0,1.179871179477687e-22,0.13261287569771993,WANDER,0.55,0,0,0,0,looming_escape
51,1.02,40.11040080174348,40.0,1.1943963678393971e-22,0.1301949499656576,0.0,0.0,174.2751895477765,0.0,51,40.11040080174348,40.0,1.1943963678393971e-22,0.1301949499656576,WANDER,0.55,0,0,0,0,looming_escape
52,1.04,40.112900736877634,40.0,1.2108430733166832e-22,0.12499675670780629,0.0,0.0,174.2751895477765,0.0,52,40.112900736877634,40.0,1.2108430733166832e-22,0.12499675670780629,WANDER,0.55,0,0,0,0,looming_escape
