step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,45.002,45.0,0.0,0.1,0.0,0.0,76.0,30.0,0.0,1,45.002,45.0,0.0,0.1,WANDER,0.55,0,0,0,0,optomotor
2,0.04,45.004000000000005,45.0,2.60405371853463e-25,0.1,0.0,0.0,76.0,30.0,0.0,2,45.004000000000005,45.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,optomotor
3,0.06,45.00600000000001,45.0,7.688743042648405e-25,0.1,0.0,0.0,76.0,30.0,0.0,3,45.00600000000001,45.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,optomotor
4,0.08,45.00800000000001,45.0,1.5136512219751228e-24,0.1,0.0,0.0,76.0,30.0,0.0,4,45.00800000000001,45.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
5,0.1,45.01000000000001,45.0,2.483538939550103e-24,0.1,0.0,0.0,76.0,30.0,0.0,5,45.01000000000001,45.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
6,0.12,45.012000000000015,45.0,3.6678721378636984e-24,0.1,0.0,0.0,76.0,30.0,0.0,6,45.012000000000015,45.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
7,0.14,45.01400000000002,45.0,5.056492100448316e-24,0.1,0.0,0.0,76.0,30.0,0.0,7,45.01400000000002,45.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
8,0.16,45.01600000000002,45.0,6.639722649868574e-24,0.1,0.0,0.0,76.0,30.0,0.0,8,45.01600000000002,45.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
9,0.18,45.01800000000002,45.0,8.40834722711727e-24,0.1,0.0,0.0,76.0,30.0,0.0,9,45.01800000000002,45.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,optomotor
10,0.2,45.020000000000024,45.0,1.0353587059740044e-23,0.1,0.0,0.0,76.0,30.0,0.0,10,45.020000000000024,45.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
11,0.22,45.02200000000003,45.0,1.2467080366974118e-23,0.1,0.0,0.0,76.0,30.0,0.0,11,45.02200000000003,45.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
12,0.24,45.02400000000003,45.0,1.4740862552642947e-23,0.1,0.0,0.0,76.0,30.0,0.0,12,45.02400000000003,45.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
13,0.26,45.02600000000003,45.0,1.7167347338888373e-23,0.1,0.0,0.0,76.0,30.0,0.0,13,45.02600000000003,45.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
14,0.28,45.028000000000034,45.0,1.9739308796050496e-23,0.1,0.0,0.0,76.0,30.0,0.0,14,45.028000000000034,45.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
15,0.3,45.03000000000004,45.0,2.2449864226128264e-23,0.1,0.0,0.0,76.0,30.0,0.0,15,45.03000000000004,45.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
16,0.32,45.03200000000004,45.0,2.5292457859275675e-23,0.1,0.0,0.0,76.0,30.0,0.0,16,45.03200000000004,45.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
17,0.34,45.03400000000004,45.0,2.826084532471441e-23,0.1,0.0,0.0,76.0,30.0,0.0,17,45.03400000000004,45.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
18,0.36,45.036000000000044,45.0,3.134907885927813e-23,0.1,0.0,0.0,76.0,30.0,0.0,18,45.036000000000044,45.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
19,0.38,45.038000000000046,45.0,3.455149321855088e-23,0.1,0.0,0.0,76.0,30.0,0.0,19,45.038000000000046,45.0,3.455149321855088e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
20,0.4,45.04000000000005,45.0,3.786269225722648e-23,0.1,0.0,0.0,76.0,30.0,0.0,20,45.04000000000005,45.0,3.786269225722648e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
21,0.42,45.04200000000005,45.0,4.1277536146900775e-23,0.1,0.0,0.0,76.0,30.0,0.0,21,45.04200000000005,45.0,4.1277536146900775e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
22,0.44,45.044000000000054,45.0,4.479112920101883e-23,0.1,0.0,0.0,76.0,30.0,0.0,22,45.044000000000054,45.0,4.479112920101883e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
23,0.46,45.046000000000056,45.0,4.839880827813705e-23,0.1,0.0,0.0,76.0,30.0,0.0,23,45.046000000000056,45.0,4.839880827813705e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
24,0.48,45.04800000000006,45.0,5.2096131736030425e-23,0.1,0.0,0.0,76.0,30.0,0.0,24,45.04800000000006,45.0,5.2096131736030425e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
25,0.5,45.05000000000006,45.0,5.587886891047962e-23,0.1,0.0,0.0,76.0,30.0,0.0,25,45.05000000000006,45.0,5.587886891047962e-23,0.1,WANDER,0.55,0,0,0,0,optomotor
26,0.52,45.05200841778985,45.0,5.974299009381573e-23,0.10042088948955014,0.0,0.0,76.0,30.0,0.0,26,45.05200841778985,45.0,5.974299009381573e-23,0.10042088948955014,WANDER,0.55,0,0,0,0,optomotor
27,0.54,45.0541169154487,45.0,6.342425161763064e-23,0.1054248829425565,0.0,0.0,76.0,30.0,0.0,27,45.0541169154487,45.0,6.342425161763064e-23,0.1054248829425565,WANDER,0.55,0,0,0,0,optomotor
28,0.56,45.056296984698996,45.0,6.693133931575162e-23,0.10900346251464704,0.0,0.0,76.0,30.0,0.0,28,45.056296984698996,45.0,6.693133931575162e-23,0.10900346251464704,WANDER,0.55,0,0,0,0,optomotor
29,0.58,45.058506453609965,45.0,7.027252644489914e-23,0.11047344554841908,0.0,0.0,76.0,30.0,0.0,29,45.058506453609965,45.0,7.027252644489914e-23,0.11047344554841908,WANDER,0.55,0,0,0,0,optomotor
30,0.6,45.06069359903676,45.0,7.319528791024595e-23,0.1093572713398104,0.0,0.0,76.0,30.0,0.0,30,45.06069359903676,45.0,7.319528791024595e-23,0.1093572713398104,WANDER,0.55,0,0,0,0,optomotor
31,0.62,45.06280210204387,45.0,7.597987685880858e-23,0.10542515035545391,0.0,0.0,76.0,30.0,0.0,31,45.06280210204387,45.0,7.597987685880858e-23,0.10542515035545391,WANDER,0.55,0,0,0,0,optomotor
32,0.64,45.064855042824966,45.0,7.889326185698774e-23,0.1026470390550514,0.0,0.0,76.0,30.0,0.0,32,45.064855042824966,45.0,7.889326185698774e-23,0.1026470390550514,WANDER,0.55,0,0,0,0,optomotor
33,0.66,45.06691049048752,45.0,8.166894716444066e-23,0.10277238312781133,0.0,0.0,76.0,30.0,0.0,33,45.06691049048752,45.0,8.166894716444066e-23,0.10277238312781133,WANDER,0.55,0,0,0,0,optomotor
34,0.68,45.06901538057169,45.0,8.431347351647684e-23,0.10524450420849163,0.0,0.0,76.0,30.0,0.0,34,45.06901538057169,45.0,8.431347351647684e-23,0.10524450420849163,WANDER,0.55,0,0,0,0,optomotor
