step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,odor_a,odor_b,active_arm,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,70.0,18.002,1.5707963267948966,0.1,0.0,0.0,0.015254949981134983,0.015254949981134983,stem,1,70.0,18.002,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
2,0.04,70.0,18.003999999999998,1.5707963267948966,0.1,0.0,0.0,0.015256967234931628,0.015256967234931628,stem,2,70.0,18.003999999999998,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
3,0.06,70.0,18.005999999999997,1.5707963267948966,0.1,0.0,0.0,0.01525898462937455,0.01525898462937455,stem,3,70.0,18.005999999999997,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
4,0.08,70.0,18.007999999999996,1.5707963267948966,0.1,0.0,0.0,0.015261002164449027,0.015261002164449027,stem,4,70.0,18.007999999999996,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
5,0.1,70.0,18.009999999999994,1.5707963267948966,0.1,0.0,0.0,0.015263019840140302,0.015263019840140302,stem,5,70.0,18.009999999999994,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
6,0.12,70.0,18.011999999999993,1.5707963267948966,0.1,0.0,0.0,0.015265037656433588,0.015265037656433588,stem,6,70.0,18.011999999999993,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
7,0.14,70.0,18.013999999999992,1.5707963267948966,0.1,0.0,0.0,0.015267055613314118,0.015267055613314118,stem,7,70.0,18.013999999999992,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
8,0.16,70.0,18.01599999999999,1.5707963267948966,0.1,0.0,0.0,0.01526907371076716,0.01526907371076716,stem,8,70.0,18.01599999999999,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
9,0.18,70.0,18.01799999999999,1.5707963267948966,0.1,0.0,0.0,0.015271091948777881,0.015271091948777881,stem,9,70.0,18.01799999999999,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
10,0.2,70.0,18.01999999999999,1.5707963267948966,0.1,0.0,0.0,0.015273110327331543,0.015273110327331543,stem,10,70.0,18.01999999999999,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
11,0.22,70.0,18.021999999999988,1.5707963267948966,0.1,0.0,0.0,0.015275128846413369,0.015275128846413369,stem,11,70.0,18.021999999999988,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
12,0.24,70.0,18.023999999999987,1.5707963267948966,0.1,0.0,0.0,0.015277147506008509,0.015277147506008509,stem,12,70.0,18.023999999999987,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
13,0.26,70.0,18.025999999999986,1.5707963267948966,0.1,0.0,0.0,0.015279166306102208,0.015279166306102208,stem,13,70.0,18.025999999999986,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
14,0.28,70.0,18.027999999999984,1.5707963267948966,0.1,0.0,0.0,0.015281185246679633,0.015281185246679633,stem,14,70.0,18.027999999999984,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
15,0.3,70.0,18.029999999999983,1.5707963267948966,0.1,0.0,0.0,0.015283204327725999,0.015283204327725999,stem,15,70.0,18.029999999999983,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
16,0.32,70.0,18.031999999999982,1.5707963267948966,0.1,0.0,0.0,0.015285223549226495,0.015285223549226495,stem,16,70.0,18.031999999999982,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
17,0.34,70.0,18.03399999999998,1.5707963267948966,0.1,0.0,0.0,0.015287242911166255,0.015287242911166255,stem,17,70.0,18.03399999999998,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
18,0.36,70.0,18.03599999999998,1.5707963267948966,0.1,0.0,0.0,0.01528926241353048,0.01528926241353048,stem,18,70.0,18.03599999999998,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
19,0.38,70.0,18.03799999999998,1.5707963267948966,0.1,0.0,0.0,0.015291282056304369,0.015291282056304369,stem,19,70.0,18.03799999999998,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
20,0.4,70.0,18.039999999999978,1.5707963267948966,0.1,0.0,0.0,0.015293301839473054,0.015293301839473054,stem,20,70.0,18.039999999999978,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
21,0.42,70.0,18.041999999999977,1.5707963267948966,0.1,0.0,0.0,0.015295321763021681,0.015295321763021681,stem,21,70.0,18.041999999999977,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
22,0.44,70.0,18.043999999999976,1.5707963267948966,0.1,0.0,0.0,0.015297341826935415,0.015297341826935415,stem,22,70.0,18.043999999999976,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
23,0.46,70.0,18.045999999999975,1.5707963267948966,0.1,0.0,0.0,0.015299362031199415,0.015299362031199415,stem,23,70.0,18.045999999999975,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
24,0.48,70.0,18.047999999999973,1.5707963267948966,0.1,0.0,0.0,0.015301382375798795,0.015301382375798795,stem,24,70.0,18.047999999999973,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
25,0.5,70.0,18.049999999999972,1.5707963267948966,0.1,0.0,0.0,0.01530340286071872,0.01530340286071872,stem,25,70.0,18.049999999999972,1.5707963267948966,0.1,WANDER,0.55,0,0,0,0,t_maze
26,0.52,70.0,18.052008417789764,1.5707963267948966,0.10042088948955014,0.0,0.0,0.015305423485944302,0.015305423485944302,stem,26,70.0,18.052008417789764,1.5707963267948966,0.10042088948955014,WANDER,0.55,0,0,0,0,t_maze
27,0.54,70.0,18.054116915448617,1.5707963267948966,0.1054248829425565,0.0,0.0,0.015307452756946796,0.015307452756946796,stem,27,70.0,18.054116915448617,1.5707963267948966,0.1054248829425565,WANDER,0.55,0,0,0,0,t_maze
28,0.56,70.0,18.05629698469891,1.5707963267948966,0.10900346251464704,0.0,0.0,0.015309583299146107,0.015309583299146107,stem,28,70.0,18.05629698469891,1.5707963267948966,0.10900346251464704,WANDER,0.55,0,0,0,0,t_maze
29,0.58,70.0,18.05850645360988,1.5707963267948966,0.11047344554841908,0.0,0.0,0.015311786325142374,0.015311786325142374,stem,29,70.0,18.05850645360988,1.5707963267948966,0.11047344554841908,WANDER,0.55,0,0,0,0,t_maze
30,0.6,70.0,18.060693599036675,1.5707963267948966,0.1093572713398104,0.0,0.0,0.015314019230406286,0.015314019230406286,stem,30,70.0,18.060693599036675,1.5707963267948966,0.1093572713398104,WANDER,0.55,0,0,0,0,t_maze
31,0.62,70.0,18.062802102043783,1.5707963267948966,0.10542515035545391,0.0,0.0,0.015316229743949689,0.015316229743949689,stem,31,70.0,18.062802102043783,1.5707963267948966,0.10542515035545391,WANDER,0.55,0,0,0,0,t_maze
32,0.64,70.0,18.064855042824885,1.5707963267948966,0.1026470390550514,0.0,0.0,0.015318360933577826,0.015318360933577826,stem,32,70.0,18.064855042824885,1.5707963267948966,0.1026470390550514,WANDER,0.55,0,0,0,0,t_maze
33,0.66,70.0,18.06691049048744,1.5707963267948966,0.10277238312781133,0.0,0.0,0.015320436112868178,0.015320436112868178,stem,33,70.0,18.06691049048744,1.5707963267948966,0.10277238312781133,WANDER,0.55,0,0,0,0,t_maze
34,0.68,70.0,18.06901538057161,1.5707963267948966,0.10524450420849163,0.0,0.0,0.01532251397416604,0.01532251397416604,stem,34,70.0,18.06901538057161,1.5707963267948966,0.10524450420849163,WANDER,0.55,0,0,0,0,t_maze
35,0.7000000000000001,70.0,18.07120179141357,1.5707963267948966,0.10932054209806402,0.0,0.0,0.015324641970459234,0.015324641970459234,stem,35,70.0,18.07120179141357,1.5707963267948966,0.10932054209806402,WANDER,0.55,0,0,0,0,t_maze
36,0.72,70.0,18.073484532503088,1.5707963267948966,0.114137054475821,0.0,0.0,0.015326852546764956,0.015326852546764956,stem,36,70.0,18.073484532503088,1.5707963267948966,0.114137054475821,WANDER,0.55,0,0,0,0,t_maze
37,0.74,70.0,18.07586026237974,1.5707963267948966,0.1187864938326362,0.0,0.0,0.015329160696717766,0.015329160696717766,stem,37,70.0,18.07586026237974,1.5707963267948966,0.1187864938326362,WANDER,0.55,0,0,0,0,t_maze
38,0.76,70.0,18.078308216224524,1.5707963267948966,0.12239769223908242,0.0,0.0,0.015331563064339523,0.015331563064339523,stem,38,70.0,18.078308216224524,1.5707963267948966,0.12239769223908242,WANDER,0.55,0,0,0,0,t_maze
39,0.78,70.0,18.08079247872021,1.5707963267948966,0.12421312478428326,0.0,0.0,0.015334038672523849,0.015334038672523849,stem,39,70.0,18.08079247872021,1.5707963267948966,0.12421312478428326,WANDER,0.55,0,0,0,0,t_maze
40,0.8,70.0,18.083265598957663,1.5707963267948966,0.12365601187268878,0.0,0.0,0.015336551214082962,0.015336551214082962,stem,40,70.0,18.083265598957663,1.5707963267948966,0.12365601187268878,WANDER,0.55,0,0,0,0,t_maze
41,0.8200000000000001,70.0,18.085673223618958,1.5707963267948966,0.12038123306468687,0.0,0.0,0.015339052701195559,0.015339052701195559,stem,41,70.0,18.085673223618958,1.5707963267948966,0.12038123306468687,WANDER,0.55,0,0,0,0,t_maze
42,0.84,70.0,18.087985677144896,1.5707963267948966,0.11562267629693412,0.0,0.0,0.015341488147198136,0.015341488147198136,stem,42,70.0,18.087985677144896,1.5707963267948966,0.11562267629693412,WANDER,0.55,0,0,0,0,t_maze
43,0.86,70.0,18.09026502628468,1.5707963267948966,0.1139674569891342,0.0,0.0,0.015343827513359555,0.015343827513359555,stem,43,70.0,18.09026502628468,1.5707963267948966,0.1139674569891342,WANDER,0.55,0,0,0,0,t_maze
44,0.88,70.0,18.092564173377287,1.5707963267948966,0.11495735463031481,0.0,0.0,0.01534613357303185,0.01534613357303185,stem,44,70.0,18.092564173377287,1.5707963267948966,0.11495735463031481,WANDER,0.55,0,0,0,0,t_maze
45,0.9,70.0,18.09492265221666,1.5707963267948966,0.11792394196861614,0.0,0.0,0.015348459846862218,0.015348459846862218,stem,45,70.0,18.09492265221666,1.5707963267948966,0.11792394196861614,WANDER,0.55,0,0,0,0,t_maze
46,0.92,70.0,18.09736359975114,1.5707963267948966,0.12204737672401511,0.0,0.0,0.015350846344670004,0.015350846344670004,stem,46,70.0,18.09736359975114,1.5707963267948966,0.12204737672401511,WANDER,0.55,0,0,0,0,t_maze
47,0.9400000000000001,70.0,18.09989217664557,1.5707963267948966,0.12642884472154078,0.0,0.0,0.015353316495858593,0.015353316495858593,stem,47,70.0,18.09989217664557,1.5707963267948966,0.12642884472154078,WANDER,0.55,0,0,0,0,t_maze
48,0.96,70.0,18.102495579585906,1.5707963267948966,0.130170147016787,0.0,0.0,0.015355875544612993,0.015355875544612993,stem,48,70.0,18.102495579585906,1.5707963267948966,0.130170147016787,WANDER,0.55,0,0,0,0,t_maze
49,0.98,70.0,18.10514464523014,1.5707963267948966,0.13245328221173489,0.0,0.0,0.015358510554814714,0.015358510554814714,stem,49,70.0,18.10514464523014,1.5707963267948966,0.13245328221173489,WANDER,0.55,0,0,0,0,t_maze
50,1.0,70.0,18.107796902744095,1.5707963267948966,0.13261287569771993,0.0,0.0,0.015361192025420184,0.015361192025420184,stem,50,70.0,18.107796902744095,1.5707963267948966,0.13261287569771993,WANDER,0.55,0,0,0,0,t_maze
51,1.02,70.0,18.11040080174341,1.5707963267948966,0.1301949499656576,0.0,0.0,0.015363876972784966,0.015363876972784966,stem,51,70.0,18.11040080174341,1.5707963267948966,0.1301949499656576,WANDER,0.55,0,0,0,0,t_maze
52,1.04,70.0,18.112900736877567,1.5707963267948966,0.12499675670780629,0.0,0.0,0.015366513204874241,0.015366513204874241,stem,52,70.0,18.112900736877567,1.5707963267948966,0.12499675670780629,WANDER,0.55,0,0,0,0,t_maze
53,1.06,70.0,18.115333931142583,1.5707963267948966,0.12165971325088959,0.0,0.0,0.01536904440519059,0.01536904440519059,stem,53,70.0,18.115333931142583,1.5707963267948966,0.12165971325088959,WANDER,0.55,0,0,0,0,t_maze
54,1.08,70.0,18.117758247057974,1.5707963267948966,0.1212157957695753,0.0,0.0,0.015371508239737467,0.015371508239737467,stem,54,70.0,18.117758247057974,1.5707963267948966,0.1212157957695753,WANDER,0.55,0,0,0,0,t_maze
55,1.1,70.0,18.120219908697685,1.5707963267948966,0.12308308198546487,0.0,0.0,0.015373963289923886,0.015373963289923886,stem,55,70.0,18.120219908697685,1.5707963267948966,0.12308308198546487,WANDER,0.55,0,0,0,0,t_maze
56,1.12,70.0,18.122749910662655,1.5707963267948966,0.12650009824854488,0.0,0.0,0.015376456369443075,0.015376456369443075,stem,56,70.0,18.122749910662655,1.5707963267948966,0.12650009824854488,WANDER,0.55,0,0,0,0,t_maze
57,1.1400000000000001,70.0,18.125361769382486,1.5707963267948966,0.1305929359915646,0.0,0.0,0.015379018882141476,0.015379018882141476,stem,57,70.0,18.125361769382486,1.5707963267948966,0.1305929359915646,WANDER,0.55,0,0,0,0,t_maze
58,1.16,70.0,18.128050819798403,1.5707963267948966,0.13445252079593317,0.0,0.0,0.015381664538055742,0.015381664538055742,stem,58,70.0,18.128050819798403,1.5707963267948966,0.13445252079593317,WANDER,0.55,0,0,0,0,t_maze
59,1.18,70.0,18.130795121663226,1.5707963267948966,0.13721509324116593,0.0,0.0,0.015384388633483228,0.015384388633483228,stem,59,70.0,18.130795121663226,1.5707963267948966,0.13721509324116593,WANDER,0.55,0,0,0,0,t_maze
60,1.2,70.0,18.133557895111757,1.5707963267948966,0.1381386724265947,0.0,0.0,0.01538716896081344,0.01538716896081344,stem,60,70.0,18.133557895111757,1.5707963267948966,0.1381386724265947,WANDER,0.55,0,0,0,0,t_maze
61,1.22,70.0,18.136291267789648,1.5707963267948966,0.136668633894506,0.0,0.0,0.015389968267871087,0.015389968267871087,stem,61,70.0,18.136291267789648,1.5707963267948966,0.136668633894506,WANDER,0.55,0,0,0,0,t_maze
62,1.24,70.0,18.13894099801459,1.5707963267948966,0.13248651124710067,0.0,0.0,0.015392738047648992,0.015392738047648992,stem,62,70.0,18.13894099801459,1.5707963267948966,0.13248651124710067,WANDER,0.55,0,0,0,0,t_maze
63,1.26,70.0,18.141491229999094,1.5707963267948966,0.1275115992251165,0.0,0.0,0.015395423319881313,0.015395423319881313,stem,63,70.0,18.141491229999094,1.5707963267948966,0.1275115992251165,WANDER,0.55,0,0,0,0,t_maze
