step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,drum_angle,laser_active,yaw_torque,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,40.002,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,40.002,40.0,0.0,0.1,WANDER,0.55,0,0,0,0,visual_operant
2,0.04,40.004000000000005,40.0,2.60405371853463e-25,0.1,0.0,0.0,0.0,0.0,0.0,2,40.004000000000005,40.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,visual_operant
3,0.06,40.00600000000001,40.0,7.688743042648405e-25,0.1,0.0,0.0,0.0,0.0,1.302026859267315e-23,3,40.00600000000001,40.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,visual_operant
4,0.08,40.00800000000001,40.0,1.5136512219751228e-24,0.1,0.0,0.0,0.0,0.0,2.5423446620568878e-23,4,40.00800000000001,40.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
5,0.1,40.01000000000001,40.0,2.483538939550103e-24,0.1,0.0,0.0,0.0,0.0,3.723884588551411e-23,5,40.01000000000001,40.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
6,0.12,40.012000000000015,40.0,3.6678721378636984e-24,0.1,0.0,0.0,0.0,0.0,4.8494385878748994e-23,6,40.012000000000015,40.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
7,0.14,40.01400000000002,40.0,5.056492100448316e-24,0.1,0.0,0.0,0.0,0.0,5.921665991567977e-23,7,40.01400000000002,40.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
8,0.16,40.01600000000002,40.0,6.639722649868574e-24,0.1,0.0,0.0,0.0,0.0,6.94309981292309e-23,8,40.01600000000002,40.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
9,0.18,40.01800000000002,40.0,8.40834722711727e-24,0.1,0.0,0.0,0.0,0.0,7.916152747101288e-23,9,40.01800000000002,40.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,visual_operant
10,0.2,40.020000000000024,40.0,1.0353587059740044e-23,0.1,0.0,0.0,0.0,0.0,8.843122886243479e-23,10,40.020000000000024,40.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
11,0.22,40.02200000000003,40.0,1.2467080366974118e-23,0.1,0.0,0.0,0.0,0.0,9.726199163113871e-23,11,40.02200000000003,40.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
12,0.24,40.02400000000003,40.0,1.4740862552642947e-23,0.1,0.0,0.0,0.0,0.0,1.0567466536170373e-22,12,40.02400000000003,40.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
13,0.26,40.02600000000003,40.0,1.7167347338888373e-23,0.1,0.0,0.0,0.0,0.0,1.1368910928344148e-22,13,40.02600000000003,40.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
14,0.28,40.028000000000034,40.0,1.9739308796050496e-23,0.1,0.0,0.0,0.0,0.0,1.2132423931227123e-22,14,40.028000000000034,40.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
15,0.3,40.03000000000004,40.0,2.2449864226128264e-23,0.1,0.0,0.0,0.0,0.0,1.285980728581061e-22,15,40.03000000000004,40.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
16,0.32,40.03200000000004,40.0,2.5292457859275675e-23,0.1,0.0,0.0,0.0,0.0,1.3552777150388839e-22,16,40.03200000000004,40.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
17,0.34,40.03400000000004,40.0,2.826084532471441e-23,0.1,0.0,0.0,0.0,0.0,1.4212968165737058e-22,17,40.03400000000004,40.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
18,0.36,40.036000000000044,40.0,3.134907885927813e-23,0.1,0.0,0.0,0.0,0.0,1.484193732719369e-22,18,40.036000000000044,40.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
19,0.38,40.038000000000046,40.0,3.455149321855088e-23,0.1,0.0,0.0,0.0,0.0,1.5441167672818587e-22,19,40.038000000000046,40.0,3.455149321855088e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
20,0.4,40.04000000000005,40.0,3.786269225722648e-23,0.1,0.0,0.0,0.0,0.0,1.6012071796363758e-22,20,40.04000000000005,40.0,3.786269225722648e-23,0.1,WANDER,0.55,0,0,0,0,visual_operant
