step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,wind_speed,odor_conc,source_reached,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,20.002,30.0,0.0,0.1,0.0,0.0,25.0,0.5272924240430485,0.0,1,20.002,30.0,0.0,0.1,SURGE,0.55,0,0,0,0,wind_tunnel
2,0.04,20.003999999999998,30.0,2.7105054312137615e-26,0.1,0.0,0.0,25.0,0.5272966423993143,0.0,2,20.003999999999998,30.0,2.7105054312137615e-26,0.1,SURGE,0.55,0,0,0,0,wind_tunnel
3,0.06,20.005999999999997,30.0,8.00276728565863e-26,0.1,0.0,0.0,25.0,0.527300860789327,0.0,3,20.005999999999997,30.0,8.00276728565863e-26,0.1,SURGE,0.55,0,0,0,0,wind_tunnel
4,0.08,20.007999999999996,30.0,1.575415213323113e-25,0.1,0.0,0.0,25.0,0.527305079213087,0.0,4,20.007999999999996,30.0,1.575415213323113e-25,0.1,SURGE,0.55,0,0,0,0,wind_tunnel
5,0.1,20.009999999999994,30.0,2.5847851631757695e-25,0.1,0.0,0.0,25.0,0.5273092976705945,0.0,5,20.009999999999994,30.0,2.5847851631757695e-25,0.1,SURGE,0.55,0,0,0,0,wind_tunnel
6,0.12,20.0123386052512,30.0,3.8172605835318013e-25,0.11693026256015536,0.0,0.0,25.0,0.5273135161618498,0.0,6,20.0123386052512,30.0,3.8172605835318013e-25,0.11693026256015536,SURGE,0.55,0,0,0,0,wind_tunnel
7,0.14,20.014646421206834,30.0,5.262243964542297e-25,0.11539079778180819,0.0,0.0,25.0,0.5273184488975529,0.0,7,20.014646421206834,30.0,5.262243964542297e-25,0.11539079778180819,SURGE,0.55,0,0,0,0,wind_tunnel
8,0.16,20.01725700642539,30.0,6.367540091833419e-25,0.1305292609277089,0.0,0.0,25.0,0.5273233167357413,0.0,8,20.01725700642539,30.0,6.367540091833419e-25,0.1305292609277089,SURGE,0.55,0,0,0,0,wind_tunnel
9,0.18,20.020342943185796,30.0,7.1492841099568355e-25,0.15429683802028166,0.0,0.0,25.0,0.527328823254316,0.0,9,20.020342943185796,30.0,7.1492841099568355e-25,0.15429683802028166,SURGE,0.55,0,0,0,0,wind_tunnel
10,0.2,20.023639157231845,30.0,7.351794200976638e-25,0.16481070230245543,0.0,0.0,25.0,0.5273353325080922,0.0,10,20.023639157231845,30.0,7.351794200976638e-25,0.16481070230245543,SURGE,0.55,0,0,0,0,wind_tunnel
11,0.22,20.0269347634388,30.0,7.544685062673e-25,0.16478031034764112,0.0,0.0,25.0,0.5273422853944485,0.0,11,20.0269347634388,30.0,7.544685062673e-25,0.16478031034764112,SURGE,0.55,0,0,0,0,wind_tunnel
12,0.24,20.030619534635605,30.0,7.728413608438785e-25,0.18423855984023807,0.0,0.0,25.0,0.5273492370903042,0.0,12,20.030619534635605,30.0,7.728413608438785e-25,0.18423855984023807,SURGE,0.55,0,0,0,0,wind_tunnel
13,0.26,20.034675958397717,30.0,7.903415048280695e-25,0.20282118810566813,0.0,0.0,25.0,0.5273570097927033,0.0,13,20.034675958397717,30.0,7.903415048280695e-25,0.20282118810566813,SURGE,0.55,0,0,0,0,wind_tunnel
14,0.28,20.03869756488351,30.0,7.528002833487362e-25,0.2010803242897092,0.0,0.0,25.0,0.5273655665961458,0.0,14,20.03869756488351,30.0,7.528002833487362e-25,0.2010803242897092,SURGE,0.55,0,0,0,0,wind_tunnel
15,0.3,20.042887343517304,30.0,7.170422698896712e-25,0.20948893168975877,0.0,0.0,25.0,0.5273740500915122,0.0,15,20.042887343517304,30.0,7.170422698896712e-25,0.20948893168975877,SURGE,0.55,0,0,0,0,wind_tunnel
16,0.32,20.047481409989263,30.0,6.287726534456367e-25,0.2297033235980393,0.0,0.0,25.0,0.5273828884876821,0.0,16,20.047481409989263,30.0,6.287726534456367e-25,0.2297033235980393,SURGE,0.55,0,0,0,0,wind_tunnel
17,0.34,20.052275364450907,30.0,6.531160610312442e-25,0.23969772308220955,0.0,0.0,25.0,0.5273925799049115,0.0,17,20.052275364450907,30.0,6.531160610312442e-25,0.23969772308220955,SURGE,0.55,0,0,0,0,wind_tunnel
18,0.36,20.056928038902512,30.0,6.2209304813226015e-25,0.23263372258037,0.0,0.0,25.0,0.5274026931859223,0.0,18,20.056928038902512,30.0,6.2209304813226015e-25,0.23263372258037,SURGE,0.55,0,0,0,0,wind_tunnel
19,0.38,20.061872873791547,30.0,5.925436283459778e-25,0.24724174445166322,0.0,0.0,25.0,0.5274125086094031,0.0,19,20.061872873791547,30.0,5.925436283459778e-25,0.24724174445166322,SURGE,0.55,0,0,0,0,wind_tunnel
20,0.4,20.067160118681254,30.0,6.728180232480943e-25,0.2643622444853044,0.0,0.0,25.0,0.5274229405836655,0.0,20,20.067160118681254,30.0,6.728180232480943e-25,0.2643622444853044,SURGE,0.55,0,0,0,0,wind_tunnel
