step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,current_zone,alternation_rate,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
1,0.02,60.002,60.0,0.0,0.1,0.0,0.0,hub,0.0,1,60.002,60.0,0.0,0.1,WANDER,0.55,0,0,0,0,y_maze
2,0.04,60.004000000000005,60.0,2.60405371853463e-25,0.1,0.0,0.0,hub,0.0,2,60.004000000000005,60.0,2.60405371853463e-25,0.1,WANDER,0.55,0,0,0,0,y_maze
3,0.06,60.00600000000001,60.0,7.688743042648405e-25,0.1,0.0,0.0,hub,0.0,3,60.00600000000001,60.0,7.688743042648405e-25,0.1,WANDER,0.55,0,0,0,0,y_maze
4,0.08,60.00800000000001,60.0,1.5136512219751228e-24,0.1,0.0,0.0,hub,0.0,4,60.00800000000001,60.0,1.5136512219751228e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
5,0.1,60.01000000000001,60.0,2.483538939550103e-24,0.1,0.0,0.0,hub,0.0,5,60.01000000000001,60.0,2.483538939550103e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
6,0.12,60.012000000000015,60.0,3.6678721378636984e-24,0.1,0.0,0.0,hub,0.0,6,60.012000000000015,60.0,3.6678721378636984e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
7,0.14,60.01400000000002,60.0,5.056492100448316e-24,0.1,0.0,0.0,hub,0.0,7,60.01400000000002,60.0,5.056492100448316e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
8,0.16,60.01600000000002,60.0,6.639722649868574e-24,0.1,0.0,0.0,hub,0.0,8,60.01600000000002,60.0,6.639722649868574e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
9,0.18,60.01800000000002,60.0,8.40834722711727e-24,0.1,0.0,0.0,hub,0.0,9,60.01800000000002,60.0,8.40834722711727e-24,0.1,WANDER,0.55,0,0,0,0,y_maze
10,0.2,60.020000000000024,60.0,1.0353587059740044e-23,0.1,0.0,0.0,hub,0.0,10,60.020000000000024,60.0,1.0353587059740044e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
11,0.22,60.02200000000003,60.0,1.2467080366974118e-23,0.1,0.0,0.0,hub,0.0,11,60.02200000000003,60.0,1.2467080366974118e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
12,0.24,60.02400000000003,60.0,1.4740862552642947e-23,0.1,0.0,0.0,hub,0.0,12,60.02400000000003,60.0,1.4740862552642947e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
13,0.26,60.02600000000003,60.0,1.7167347338888373e-23,0.1,0.0,0.0,hub,0.0,13,60.02600000000003,60.0,1.7167347338888373e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
14,0.28,60.028000000000034,60.0,1.9739308796050496e-23,0.1,0.0,0.0,hub,0.0,14,60.028000000000034,60.0,1.9739308796050496e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
15,0.3,60.03000000000004,60.0,2.2449864226128264e-23,0.1,0.0,0.0,hub,0.0,15,60.03000000000004,60.0,2.2449864226128264e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
16,0.32,60.03200000000004,60.0,2.5292457859275675e-23,0.1,0.0,0.0,hub,0.0,16,60.03200000000004,60.0,2.5292457859275675e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
17,0.34,60.03400000000004,60.0,2.826084532471441e-23,0.1,0.0,0.0,hub,0.0,17,60.03400000000004,60.0,2.826084532471441e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
18,0.36,60.036000000000044,60.0,3.134907885927813e-23,0.1,0.0,0.0,hub,0.0,18,60.036000000000044,60.0,3.134907885927813e-23,0.1,WANDER,0.55,0,0,0,0,y_maze
