trial_id,condition,seed,success,killed,ttf,distance,initial_euclidean,pte,tortuosity,upwind_fidelity,satiety_auc,escapes_count
1,WT,42,0,1,196,546.29,48.15,0.0881,12.8886,-0.0562,0.5476,90
2,WT,43,1,0,154,391.93,44.36,0.1132,8.248,0.2366,0.548,60
3,WT,44,0,1,41,177.88,48.62,0.2733,4.0854,0.0518,0.5484,30
4,WT,45,0,1,82,252.0,48.41,0.1921,6.6825,0.1094,0.5485,30
5,WT,46,0,0,400,896.34,44.38,0.0495,13.4952,0.0732,0.5457,90
6,WT,47,0,0,400,934.7,46.4,0.0496,15.581,0.0747,0.5457,90
7,WT,48,0,0,400,840.39,47.55,0.0566,14.4569,0.0844,0.5457,60
8,WT,49,0,1,373,968.2,46.9,0.0484,21.5944,0.0106,0.5458,120
9,WT,50,0,0,400,892.44,46.2,0.0518,49.9108,0.0464,0.5457,90
10,WT,51,0,1,56,178.04,43.78,0.2459,9.0071,0.0927,0.5485,30
11,WT,52,0,1,133,374.63,47.13,0.1258,39.846,0.0289,0.5482,60
12,WT,53,0,1,145,407.55,48.04,0.1179,13.1885,0.2634,0.5481,60
13,WT,54,0,0,400,959.83,45.59,0.0475,13.0827,0.0097,0.5457,108
14,WT,55,0,1,134,400.74,44.53,0.1111,11.826,0.2808,0.5482,60
15,WT,56,1,0,213,481.77,49.56,0.1029,9.3822,0.2711,0.5477,64
16,WT,57,1,0,149,350.62,48.34,0.1379,7.1872,0.2586,0.5484,60
17,WT,58,0,1,86,289.47,46.79,0.1617,9.3598,0.5269,0.5485,30
18,WT,59,0,1,48,165.53,44.6,0.2695,23.9392,0.1633,0.5485,30
19,WT,60,0,1,247,654.36,46.27,0.0707,213.1466,0.0045,0.5471,90
20,WT,61,0,1,125,371.01,48.53,0.1308,11.1873,0.1181,0.5483,60
21,WT,62,0,0,400,888.87,48.51,0.0546,17.2695,-0.0159,0.5457,90
22,WT,63,0,1,130,369.71,45.2,0.1223,8.0019,0.1018,0.5509,60
23,WT,64,0,1,161,471.34,42.69,0.0906,26.662,0.2481,0.548,60
24,WT,65,0,1,197,479.34,48.18,0.1005,22.0593,0.0496,0.5476,60
25,WT,66,0,1,119,359.75,42.74,0.1188,43.6497,0.1301,0.5483,60
26,WT,67,0,0,400,978.78,47.44,0.0485,17.5988,0.0436,0.5457,150
27,WT,68,0,1,42,139.4,48.14,0.3454,12.0258,0.1139,0.5484,31
28,WT,69,0,1,129,338.28,48.93,0.1447,10.5713,0.0601,0.5482,60
29,WT,70,0,1,49,155.83,46.53,0.2986,11.5578,0.1217,0.5485,30
30,WT,71,0,1,132,344.67,49.57,0.1438,6.4699,0.2924,0.5482,60
31,WT,72,0,0,400,859.09,44.04,0.0513,11.0615,0.089,0.5457,60
32,WT,73,0,1,120,366.52,46.3,0.1263,7.7456,0.1202,0.5483,60
33,WT,74,0,1,119,347.57,46.52,0.1338,13.7508,0.1226,0.5483,60
34,WT,75,0,1,228,564.91,49.46,0.0876,74.0896,-0.0421,0.5473,90
35,WT,76,0,1,80,264.44,46.92,0.1774,7.2154,0.4395,0.5485,30
36,WT,77,0,1,349,847.58,44.39,0.0524,19.7634,0.1089,0.5461,120
37,WT,78,0,1,88,253.97,47.43,0.1868,14.8057,0.4719,0.5485,30
38,WT,79,0,1,127,377.53,47.88,0.1268,52.9335,0.1577,0.5483,60
39,WT,80,0,1,46,152.7,43.68,0.2861,5.6144,0.1018,0.5484,30
40,WT,81,0,1,399,840.24,49.91,0.0594,27.0782,0.0686,0.5456,60
41,WT,82,0,1,44,152.21,43.37,0.2849,16.6305,0.0263,0.5484,30
42,WT,83,0,1,177,428.83,48.56,0.1132,16.4662,0.1597,0.5478,60
43,WT,84,0,0,400,847.58,47.57,0.0561,11.2618,0.1092,0.5457,30
44,WT,85,0,0,400,516.37,48.6,0.0941,11.9441,0.1769,0.5458,60
45,WT,86,0,1,130,361.79,47.26,0.1306,17.3395,0.1079,0.5482,60
46,WT,87,0,1,83,223.9,44.86,0.2003,9.9055,-0.0105,0.5485,30
47,WT,88,0,1,83,241.23,49.31,0.2044,4.66,0.1164,0.5485,30
48,WT,89,0,1,311,782.85,48.82,0.0624,20.945,-0.0458,0.5465,120
49,WT,90,0,1,80,245.64,47.7,0.1942,18.2564,0.4985,0.5485,30
50,WT,91,0,1,82,216.69,50.22,0.2318,18.2412,0.0156,0.5485,30
51,WT,92,1,0,388,789.04,45.75,0.058,16.6381,0.0797,0.5459,30
52,WT,93,0,1,312,752.97,44.83,0.0595,15.6153,0.0939,0.5465,90
53,WT,94,0,1,324,748.96,50.07,0.0669,23.1166,0.1524,0.5464,120
54,WT,95,0,1,82,263.37,45.53,0.1729,4.7332,0.0457,0.5485,30
55,WT,96,0,1,124,363.27,46.44,0.1278,11.6238,0.3857,0.5483,60
56,WT,97,0,1,82,243.35,46.86,0.1926,16.3483,0.1613,0.5485,30
57,WT,98,0,1,86,263.6,43.08,0.1634,11.0965,0.3932,0.5485,30
58,WT,99,0,1,87,240.2,47.31,0.197,8.9461,0.5216,0.5485,30
59,WT,100,1,0,58,177.3,44.86,0.253,4.0032,0.0625,0.5485,30
60,WT,101,0,1,83,228.19,47.0,0.206,6.3143,0.5188,0.5485,30
61,WT,102,1,0,166,375.51,50.41,0.1342,7.3471,0.1728,0.5482,60
62,WT,103,0,1,54,162.59,46.38,0.2853,4.894,0.2724,0.5485,30
63,WT,104,0,1,46,178.15,44.41,0.2493,3.5409,0.1609,0.5484,30
64,WT,105,0,1,76,218.98,44.29,0.2023,7.1139,0.4258,0.5485,30
65,WT,106,0,0,400,905.8,43.01,0.0475,48.6274,0.0414,0.5457,73
66,WT,107,0,1,156,417.06,46.52,0.1115,24.5024,0.2558,0.548,60
67,WT,108,0,1,79,242.29,43.4,0.1791,5.5968,0.5093,0.5485,30
68,WT,109,0,1,320,761.85,48.63,0.0638,90.5562,0.0256,0.5464,90
69,WT,110,0,1,88,258.93,46.55,0.1798,8.9689,0.5391,0.5485,30
70,WT,111,0,1,144,390.99,48.7,0.1246,11.6004,0.1874,0.5481,60
71,WT,112,0,1,98,283.63,51.17,0.1804,11.3071,0.0582,0.5485,42
72,WT,113,0,1,48,168.57,46.83,0.2778,5.1624,0.0221,0.5485,30
73,WT,114,0,1,99,239.96,46.08,0.192,5.3435,-0.199,0.5485,46
74,WT,115,0,1,87,254.53,46.54,0.1829,14.7436,0.0715,0.5485,30
75,WT,116,0,0,400,835.37,51.08,0.0611,21.1638,0.0701,0.5457,60
76,WT,117,1,0,108,263.43,46.16,0.1752,6.1635,0.2309,0.5488,43
77,WT,118,0,1,46,165.72,44.63,0.2693,7.1477,-0.0011,0.5484,30
78,WT,119,0,0,400,890.11,47.55,0.0534,13.7939,0.0327,0.5457,109
79,WT,120,0,0,400,927.97,44.54,0.048,21.9867,0.1054,0.5457,60
80,WT,121,0,1,97,297.01,48.51,0.1633,37.0204,0.4041,0.5485,41
81,WT,122,0,1,46,154.44,44.96,0.2911,12.9419,0.1069,0.5485,30
82,WT,123,0,1,372,919.56,44.6,0.0485,57.6348,-0.0054,0.5459,90
83,WT,124,0,1,149,374.65,48.67,0.1299,21.8163,-0.1416,0.5481,60
84,WT,125,0,1,121,385.87,45.09,0.1169,6.9489,0.1915,0.5483,60
85,WT,126,0,1,210,575.81,46.39,0.0806,18.8813,0.2442,0.5475,90
86,WT,127,1,0,171,416.95,48.19,0.1156,8.382,0.1612,0.5481,60
87,WT,128,0,1,140,368.9,45.97,0.1246,18.3369,0.2493,0.5481,60
88,WT,129,0,1,85,277.12,50.39,0.1818,9.7212,0.5193,0.5485,30
89,WT,130,0,1,121,345.01,46.13,0.1337,25.834,0.0531,0.5483,60
90,WT,131,0,1,52,181.54,46.9,0.2583,3.6466,0.2027,0.5485,30
91,WT,132,0,1,115,385.9,49.92,0.1294,6.5376,-0.0057,0.5483,60
92,WT,133,0,1,74,234.24,44.27,0.189,14.0871,0.0684,0.5485,30
93,WT,134,0,1,133,365.16,45.51,0.1246,8.1206,0.0973,0.5482,60
94,WT,135,0,1,142,371.77,49.86,0.1341,8.3509,0.2616,0.5481,60
95,WT,136,0,1,67,217.36,46.27,0.2129,13.9004,0.3888,0.5486,30
96,WT,137,0,1,54,156.29,45.28,0.2897,9.0116,0.4759,0.5485,31
97,WT,138,0,0,400,860.29,47.13,0.0548,13.023,0.0863,0.5457,90
98,WT,139,0,1,88,270.49,45.57,0.1685,7.8806,0.5126,0.5485,30
99,WT,140,0,1,47,140.83,47.79,0.3393,6.182,-0.0072,0.5485,31
100,WT,141,0,1,76,205.55,43.96,0.2138,7.4829,0.1126,0.5485,30
101,DELTA_MB,10042,0,1,124,359.9,48.79,0.1356,14.6804,0.3768,0.5483,60
102,DELTA_MB,10043,0,1,47,181.55,43.58,0.24,3.4495,0.1452,0.5485,30
103,DELTA_MB,10044,1,0,219,513.5,44.89,0.0874,11.9025,0.0967,0.5476,60
104,DELTA_MB,10045,0,1,155,437.88,48.85,0.1116,14.2957,0.2984,0.548,60
105,DELTA_MB,10046,0,1,237,628.5,49.96,0.0795,22.3346,0.0818,0.5473,60
106,DELTA_MB,10047,1,0,163,372.78,44.98,0.1206,8.0793,0.2153,0.5482,30
107,DELTA_MB,10048,0,1,47,163.47,46.93,0.2871,4.1274,0.2219,0.5485,30
108,DELTA_MB,10049,0,1,148,438.56,49.04,0.1118,36.8198,0.2716,0.5481,60
109,DELTA_MB,10050,0,1,54,184.21,48.01,0.2606,3.4142,0.3737,0.5485,30
110,DELTA_MB,10051,0,0,400,959.48,50.84,0.053,20.0748,0.0012,0.5457,90
111,DELTA_MB,10052,0,0,400,945.18,47.55,0.0503,34.9833,0.0251,0.5457,68
112,DELTA_MB,10053,0,1,66,159.69,45.61,0.2856,6.6166,-0.0401,0.5486,30
113,DELTA_MB,10054,0,1,50,154.33,44.5,0.2883,19.255,0.4597,0.5485,30
